country_name,NAME,mp,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,constituency_info,Turnout (%)
Scotland,Aberdeen North,Kirsty Blackman,SNP gain from Labour,SNP,Labour,67745,43936,78,13396,"Aberdeen North
MP Kirsty Blackman
Result SNP",64.9
Scotland,Aberdeen South,Callum McCaig,SNP gain from Labour,SNP,Labour,68056,48551,56,7230,"Aberdeen South
MP Callum McCaig
Result SNP",71.3
Scotland,Airdrie and Shotts,Neil Gray,SNP gain from Labour,SNP,Labour,66792,44286,45,8779,"Airdrie and Shotts
MP Neil Gray
Result SNP",66.3
Scotland,Angus,Mike Weir,SNP hold,SNP,Conservative,65792,44485,35,11230,"Angus
MP Mike Weir
Result SNP",67.6
Scotland,Argyll and Bute,Brendan O'Hara,SNP gain from Liberal Democrat,SNP,Liberal Democrat,68875,51883,59,8473,"Argyll and Bute
MP Brendan O'Hara
Result SNP",75.3
Scotland,"Ayr, Carrick and Cumnock",Corri Wilson,SNP gain from Labour,SNP,Labour,72995,52209,59,11265,"Ayr, Carrick and Cumnock
MP Corri Wilson
Result SNP",71.5
Scotland,Banff and Buchan,Eilidh Whiteford,SNP hold,SNP,Conservative,68609,45629,112,14339,"Banff and Buchan
MP Eilidh Whiteford
Result SNP",66.5
Scotland,"Berwickshire, Roxburgh and Selkirk",Calum Kerr,SNP gain from Liberal Democrat,SNP,Conservative,74214,55038,56,328,"Berwickshire, Roxburgh and Selkirk
MP Calum Kerr
Result SNP",74.2
Scotland,"Caithness, Sutherland and Easter Ross",Paul Monaghan,SNP gain from Liberal Democrat,SNP,Liberal Democrat,47558,34186,45,3844,"Caithness, Sutherland and Easter Ross
MP Paul Monaghan
Result SNP",71.9
Scotland,Central Ayrshire,Philippa Whitford,SNP gain from Labour,SNP,Labour,70021,50774,68,13589,"Central Ayrshire
MP Philippa Whitford
Result SNP",72.5
Scotland,"Coatbridge, Chryston and Bellshill",Phil Boswell,SNP gain from Labour,SNP,Labour,73894,50698,55,11501,"Coatbridge, Chryston and Bellshill
MP Phil Boswell
Result SNP",68.6
Scotland,"Cumbernauld, Kilsyth and Kirkintilloch East",Stuart McDonald,SNP gain from Labour,SNP,Labour,67088,49382,126,14752,"Cumbernauld, Kilsyth and Kirkintilloch East
MP Stuart McDonald
Result SNP",73.6
Scotland,Dumfries and Galloway,Richard Arkless,SNP gain from Labour,SNP,Conservative,75249,56602,66,6514,"Dumfries and Galloway
MP Richard  Arkless
Result SNP",75.2
Scotland,"Dumfriesshire, Clydesdale and Tweeddale",David Mundell,Conservative hold,Conservative,SNP,68483,52134,34,798,"Dumfriesshire, Clydesdale and Tweeddale
MP David Mundell
Result Con",76.1
Scotland,Dundee East,Stewart Hosie,SNP hold,SNP,Labour,67822,48185,73,19162,"Dundee East
MP Stewart Hosie
Result SNP",71
Scotland,Dundee West,Chris Law,SNP gain from Labour,SNP,Labour,65927,44714,46,17092,"Dundee West
MP Chris Law
Result SNP",67.8
Scotland,Dunfermline and West Fife,Douglas Chapman,SNP gain from Labour,SNP,Labour,78037,55890,78,10352,"Dunfermline and West Fife
MP Douglas Chapman
Result SNP",71.6
Scotland,East Dunbartonshire,John Nicolson,SNP gain from Liberal Democrat,SNP,Liberal Democrat,66966,54871,47,2167,"East Dunbartonshire
MP John  Nicolson
Result SNP",81.9
Scotland,"East Kilbride, Strathaven and Lesmahagow",Lisa Cameron,SNP gain from Labour,SNP,Labour,83205,60539,64,16527,"East Kilbride, Strathaven and Lesmahagow
MP Lisa Cameron
Result SNP",72.8
Scotland,East Lothian,George Kerevan,SNP gain from Labour,SNP,Labour,79481,59014,36,6803,"East Lothian
MP George Kerevan
Result SNP",74.2
Scotland,East Renfrewshire,Kirsten Oswald,SNP gain from Labour,SNP,Labour,69982,56730,95,3718,"East Renfrewshire
MP Kirsten  Oswald
Result SNP",81.1
Scotland,Edinburgh East,Tommy Sheppard,SNP gain from Labour,SNP,Labour,67141,47089,69,9106,"Edinburgh East
MP Tommy Sheppard
Result SNP",70.1
Scotland,Edinburgh North and Leith,Deidre Brock,SNP gain from Labour Coop,SNP,Labour,80910,58008,76,5597,"Edinburgh North and Leith
MP Deidre  Brock
Result SNP",71.7
Scotland,Edinburgh South,Ian Murray,Labour hold,Labour,SNP,65801,49286,54,2637,"Edinburgh South
MP Ian Murray
Result Lab",74.9
Scotland,Edinburgh South West,Joanna Cherry,SNP gain from Labour,SNP,Labour,72149,51602,74,8135,"Edinburgh South West
MP Joanna  Cherry
Result SNP",71.5
Scotland,Edinburgh West,Michelle Thomson,SNP gain from Liberal Democrat,SNP,Liberal Democrat,71717,54858,49,3210,"Edinburgh West
MP Michelle  Thomson
Result SNP",76.5
Scotland,Falkirk,John McNally,SNP gain from Labour,SNP,Labour,83380,60340,57,19701,"Falkirk
MP John McNally
Result SNP",72.4
Scotland,Glasgow Central,Alison Thewliss,SNP gain from Labour,SNP,Labour,70945,39318,63,7662,"Glasgow Central
MP Alison Thewliss
Result SNP",55.4
